Age Range,Covid Vacc Date,Black,Black total,Mixed,Mixed total,Other,Other total,South Asian,South Asian total,Unknown,Unknown total,White,White total
70-79,27/04/2021,10612,14686,5313,6454,12334,15379,47719,54817,122626,138565,1774570,1835617
70-79,28/04/2021,10626,14686,5320,6454,12341,15379,47733,54817,122640,138565,1774829,1835617
70-79,29/04/2021,10633,14686,5320,6454,12341,15379,47761,54817,122675,138565,1775116,1835617
70-79,30/04/2021,10633,14686,5320,6454,12348,15379,47775,54817,122696,138565,1775333,1835617
70-79,1/5/2021,10640,14686,5320,6454,12348,15379,47796,54817,122710,138565,1775536,1835617
70-79,2/5/2021,10640,14686,5320,6454,12355,15379,47810,54817,122717,138565,1775599,1835617
70-79,3/5/2021,10647,14686,5320,6454,12355,15379,47810,54817,122731,138565,1775662,1835617
70-79,4/5/2021,10647,14686,5320,6454,12355,15379,47817,54817,122745,138565,1775774,1835617
70-79,5/5/2021,10654,14686,5327,6454,12362,15379,47831,54817,122759,138565,1775921,1835617
70-79,6/5/2021,10668,14686,5327,6454,12369,15379,47852,54817,122773,138565,1776096,1835617
70-79,7/5/2021,10668,14686,5327,6454,12369,15379,47866,54817,122787,138565,1776250,1835617
70-79,8/5/2021,10675,14686,5327,6454,12376,15379,47873,54817,122801,138565,1776376,1835617
70-79,9/5/2021,10675,14686,5327,6454,12376,15379,47880,54817,122808,138565,1776425,1835617
70-79,10/5/2021,10682,14686,5327,6454,12383,15379,47894,54817,122808,138565,1776495,1835617
70-79,11/5/2021,10689,14686,5327,6454,12383,15379,47908,54817,122815,138565,1776600,1835617
70-79,12/5/2021,10689,14686,5327,6454,12390,15379,47943,54817,122836,138565,1776740,1835617
70-79,13/05/2021,10703,14686,5334,6454,12390,15379,47957,54817,122850,138565,1776908,1835617
70-79,14/05/2021,10710,14686,5334,6454,12397,15379,47985,54817,122864,138565,1777034,1835617
70-79,15/05/2021,10717,14686,5341,6454,12404,15379,48006,54817,122878,138565,1777153,1835617
70-79,16/05/2021,10724,14686,5341,6454,12411,15379,48020,54817,122892,138565,1777202,1835617
70-79,17/05/2021,10724,14686,5341,6454,12418,15379,48034,54817,122892,138565,1777265,1835617
70-79,18/05/2021,10731,14686,5341,6454,12425,15379,48055,54817,122899,138565,1777370,1835617
70-79,19/05/2021,10738,14686,5341,6454,12432,15379,48090,54817,122920,138565,1777503,1835617
70-79,20/05/2021,10745,14686,5341,6454,12432,15379,48125,54817,122941,138565,1777629,1835617
70-79,21/05/2021,10752,14686,5348,6454,12439,15379,48146,54817,122955,138565,1777741,1835617
70-79,22/05/2021,10759,14686,5348,6454,12439,15379,48174,54817,122976,138565,1777839,1835617
70-79,23/05/2021,10766,14686,5348,6454,12439,15379,48181,54817,122983,138565,1777888,1835617
70-79,24/05/2021,10766,14686,5348,6454,12446,15379,48188,54817,122990,138565,1777958,1835617
70-79,25/05/2021,10773,14686,5355,6454,12446,15379,48216,54817,123004,138565,1778028,1835617
70-79,26/05/2021,10780,14686,5355,6454,12453,15379,48237,54817,123018,138565,1778161,1835617
70-79,27/05/2021,10787,14686,5355,6454,12453,15379,48258,54817,123039,138565,1778259,1835617
70-79,28/05/2021,10794,14686,5355,6454,12460,15379,48279,54817,123053,138565,1778350,1835617
70-79,29/05/2021,10794,14686,5362,6454,12467,15379,48314,54817,123067,138565,1778427,1835617
70-79,30/05/2021,10801,14686,5362,6454,12467,15379,48328,54817,123067,138565,1778462,1835617
70-79,31/05/2021,10801,14686,5362,6454,12467,15379,48335,54817,123074,138565,1778476,1835617
70-79,1/6/2021,10801,14686,5362,6454,12467,15379,48349,54817,123081,138565,1778525,1835617
70-79,2/6/2021,10808,14686,5362,6454,12474,15379,48356,54817,123088,138565,1778602,1835617
70-79,3/6/2021,10815,14686,5369,6454,12474,15379,48370,54817,123088,138565,1778686,1835617
70-79,4/6/2021,10822,14686,5369,6454,12481,15379,48391,54817,123095,138565,1778742,1835617
70-79,5/6/2021,10829,14686,5369,6454,12488,15379,48412,54817,123109,138565,1778798,1835617
70-79,6/6/2021,10829,14686,5369,6454,12488,15379,48419,54817,123116,138565,1778840,1835617
70-79,7/6/2021,10829,14686,5369,6454,12488,15379,48426,54817,123130,138565,1778882,1835617
70-79,8/6/2021,10836,14686,5369,6454,12495,15379,48447,54817,123137,138565,1778938,1835617
70-79,9/6/2021,10843,14686,5376,6454,12495,15379,48454,54817,123144,138565,1779008,1835617
70-79,10/6/2021,10850,14686,5376,6454,12502,15379,48475,54817,123151,138565,1779085,1835617
70-79,11/6/2021,10857,14686,5376,6454,12502,15379,48482,54817,123165,138565,1779169,1835617
70-79,12/6/2021,10864,14686,5383,6454,12509,15379,48503,54817,123172,138565,1779225,1835617
70-79,13/06/2021,10864,14686,5383,6454,12516,15379,48510,54817,123179,138565,1779260,1835617
70-79,14/06/2021,10871,14686,5383,6454,12516,15379,48517,54817,123179,138565,1779316,1835617
70-79,15/06/2021,10871,14686,5383,6454,12516,15379,48531,54817,123186,138565,1779379,1835617
70-79,16/06/2021,10878,14686,5383,6454,12523,15379,48545,54817,123207,138565,1779449,1835617
70-79,17/06/2021,10885,14686,5383,6454,12523,15379,48559,54817,123214,138565,1779519,1835617
70-79,18/06/2021,10892,14686,5383,6454,12523,15379,48566,54817,123235,138565,1779561,1835617
70-79,19/06/2021,10899,14686,5383,6454,12523,15379,48580,54817,123242,138565,1779624,1835617
70-79,20/06/2021,10899,14686,5383,6454,12530,15379,48587,54817,123249,138565,1779652,1835617
70-79,21/06/2021,10899,14686,5383,6454,12530,15379,48594,54817,123249,138565,1779673,1835617
70-79,22/06/2021,10906,14686,5390,6454,12530,15379,48601,54817,123256,138565,1779722,1835617
70-79,23/06/2021,10913,14686,5390,6454,12537,15379,48608,54817,123270,138565,1779750,1835617
70-79,24/06/2021,10913,14686,5390,6454,12537,15379,48608,54817,123270,138565,1779750,1835617
80+,1/12/2020,0,10969,0,3234,0,6692,0,28056,0,58961,0,997885
80+,8/12/2020,0,10969,0,3234,0,6692,0,28056,14,58961,518,997885
80+,9/12/2020,0,10969,0,3234,21,6692,21,28056,56,58961,1876,997885
80+,10/12/2020,7,10969,7,3234,35,6692,49,28056,112,58961,3661,997885
80+,11/12/2020,14,10969,14,3234,42,6692,70,28056,161,58961,5362,997885
80+,12/12/2020,21,10969,14,3234,49,6692,84,28056,196,58961,6580,997885
80+,13/12/2020,21,10969,14,3234,63,6692,105,28056,231,58961,7672,997885
80+,14/12/2020,28,10969,14,3234,70,6692,140,28056,287,58961,9471,997885
80+,15/12/2020,126,10969,49,3234,147,6692,497,28056,1274,58961,28917,997885
80+,16/12/2020,308,10969,119,3234,280,6692,1120,28056,2919,58961,61061,997885
80+,17/12/2020,476,10969,175,3234,413,6692,1687,28056,4333,58961,89726,997885
80+,18/12/2020,581,10969,217,3234,511,6692,2135,28056,5138,58961,108395,997885
80+,19/12/2020,749,10969,287,3234,637,6692,2919,28056,6006,58961,130900,997885
80+,20/12/2020,847,10969,329,3234,735,6692,3346,28056,6944,58961,150836,997885
80+,21/12/2020,917,10969,357,3234,805,6692,3633,28056,7427,58961,162729,997885
80+,22/12/2020,1008,10969,406,3234,882,6692,3969,28056,8330,58961,185395,997885
80+,23/12/2020,1057,10969,427,3234,966,6692,4151,28056,9016,58961,201481,997885
80+,24/12/2020,1071,10969,441,3234,987,6692,4277,28056,9163,58961,204932,997885
80+,25/12/2020,1071,10969,441,3234,987,6692,4277,28056,9163,58961,204932,997885
80+,26/12/2020,1071,10969,441,3234,987,6692,4277,28056,9163,58961,204939,997885
80+,27/12/2020,1071,10969,441,3234,987,6692,4284,28056,9170,58961,205114,997885
80+,28/12/2020,1071,10969,441,3234,987,6692,4291,28056,9184,58961,205548,997885
80+,29/12/2020,1120,10969,469,3234,1022,6692,4445,28056,9443,58961,212891,997885
80+,30/12/2020,1218,10969,504,3234,1092,6692,4774,28056,10213,58961,231203,997885
80+,31/12/2020,1267,10969,532,3234,1155,6692,5040,28056,10906,58961,244139,997885
80+,1/1/2021,1274,10969,539,3234,1162,6692,5054,28056,11081,58961,246526,997885
80+,2/1/2021,1281,10969,539,3234,1169,6692,5096,28056,11186,58961,248710,997885
80+,3/1/2021,1281,10969,539,3234,1169,6692,5103,28056,11263,58961,250117,997885
80+,4/1/2021,1288,10969,539,3234,1176,6692,5124,28056,11312,58961,251419,997885
80+,5/1/2021,1302,10969,546,3234,1183,6692,5180,28056,11473,58961,254282,997885
80+,6/1/2021,1330,10969,567,3234,1225,6692,5348,28056,11816,58961,261163,997885
80+,7/1/2021,1435,10969,623,3234,1386,6692,5733,28056,13356,58961,293349,997885
80+,8/1/2021,1708,10969,735,3234,1673,6692,6629,28056,15260,58961,331009,997885
80+,9/1/2021,2023,10969,826,3234,1834,6692,7630,28056,16954,58961,364826,997885
80+,10/1/2021,2177,10969,868,3234,1918,6692,8078,28056,17808,58961,380016,997885
80+,11/1/2021,2247,10969,889,3234,1946,6692,8281,28056,18200,58961,387548,997885
80+,12/1/2021,2345,10969,924,3234,2030,6692,8561,28056,19495,58961,410529,997885
80+,13/01/2021,2527,10969,987,3234,2163,6692,9310,28056,21413,58961,445697,997885
80+,14/01/2021,2863,10969,1085,3234,2443,6692,10682,28056,23345,58961,480529,997885
80+,15/01/2021,3227,10969,1225,3234,2667,6692,11788,28056,25753,58961,525371,997885
80+,16/01/2021,3549,10969,1351,3234,2933,6692,12677,28056,28539,58961,579159,997885
80+,17/01/2021,3661,10969,1414,3234,3108,6692,13104,28056,29694,58961,602133,997885
80+,18/01/2021,3780,10969,1456,3234,3206,6692,13363,28056,30352,58961,614789,997885
80+,19/01/2021,3983,10969,1540,3234,3374,6692,14105,28056,32396,58961,652890,997885
80+,20/01/2021,4305,10969,1638,3234,3577,6692,15071,28056,34692,58961,693224,997885
80+,21/01/2021,4571,10969,1736,3234,3710,6692,15736,28056,36722,58961,728266,997885
80+,22/01/2021,4921,10969,1869,3234,4011,6692,16702,28056,39319,58961,774235,997885
80+,23/01/2021,5208,10969,1953,3234,4277,6692,17514,28056,41531,58961,811769,997885
80+,24/01/2021,5327,10969,1995,3234,4368,6692,17759,28056,42105,58961,822486,997885
80+,25/01/2021,5453,10969,2044,3234,4417,6692,18088,28056,42728,58961,833112,997885
80+,26/01/2021,5621,10969,2086,3234,4529,6692,18501,28056,43442,58961,845992,997885
80+,27/01/2021,5803,10969,2121,3234,4599,6692,18858,28056,44072,58961,856310,997885
80+,28/01/2021,5964,10969,2177,3234,4683,6692,19222,28056,44807,58961,869638,997885
80+,29/01/2021,6097,10969,2233,3234,4760,6692,19572,28056,45598,58961,883484,997885
80+,30/01/2021,6230,10969,2268,3234,4816,6692,19880,28056,46291,58961,893193,997885
80+,31/01/2021,6286,10969,2282,3234,4844,6692,20027,28056,46557,58961,897071,997885
80+,1/2/2021,6342,10969,2296,3234,4879,6692,20188,28056,46837,58961,902006,997885
80+,2/2/2021,6412,10969,2324,3234,4907,6692,20384,28056,47152,58961,907081,997885
80+,3/2/2021,6489,10969,2338,3234,4935,6692,20601,28056,47446,58961,912275,997885
80+,4/2/2021,6580,10969,2366,3234,4977,6692,20853,28056,47726,58961,917392,997885
80+,5/2/2021,6664,10969,2387,3234,5026,6692,21049,28056,48006,58961,922257,997885
80+,6/2/2021,6755,10969,2408,3234,5061,6692,21259,28056,48237,58961,925498,997885
80+,7/2/2021,6783,10969,2415,3234,5068,6692,21343,28056,48349,58961,927031,997885
80+,8/2/2021,6846,10969,2422,3234,5082,6692,21448,28056,48496,58961,929824,997885
80+,9/2/2021,6923,10969,2443,3234,5117,6692,21623,28056,48664,58961,933030,997885
80+,10/2/2021,6979,10969,2457,3234,5152,6692,21854,28056,48874,58961,936922,997885
80+,11/2/2021,7077,10969,2478,3234,5180,6692,22064,28056,49091,58961,940436,997885
80+,12/2/2021,7175,10969,2499,3234,5208,6692,22232,28056,49287,58961,943824,997885
80+,13/02/2021,7238,10969,2513,3234,5229,6692,22337,28056,49427,58961,945931,997885
80+,14/02/2021,7259,10969,2520,3234,5243,6692,22393,28056,49476,58961,946715,997885
80+,15/02/2021,7294,10969,2520,3234,5250,6692,22456,28056,49567,58961,947940,997885
80+,16/02/2021,7336,10969,2527,3234,5264,6692,22533,28056,49630,58961,949095,997885
80+,17/02/2021,7378,10969,2534,3234,5278,6692,22638,28056,49686,58961,950306,997885
80+,18/02/2021,7420,10969,2541,3234,5292,6692,22715,28056,49763,58961,951405,997885
80+,19/02/2021,7448,10969,2541,3234,5299,6692,22799,28056,49826,58961,952357,997885
80+,20/02/2021,7476,10969,2548,3234,5306,6692,22848,28056,49861,58961,952903,997885
80+,21/02/2021,7490,10969,2548,3234,5313,6692,22876,28056,49875,58961,953078,997885
80+,22/02/2021,7504,10969,2555,3234,5320,6692,22918,28056,49903,58961,953491,997885
80+,23/02/2021,7532,10969,2555,3234,5327,6692,22988,28056,49959,58961,954268,997885
80+,24/02/2021,7560,10969,2562,3234,5341,6692,23051,28056,50015,58961,955115,997885
80+,25/02/2021,7602,10969,2569,3234,5355,6692,23142,28056,50085,58961,956025,997885
80+,26/02/2021,7644,10969,2576,3234,5369,6692,23212,28056,50148,58961,956893,997885
80+,27/02/2021,7672,10969,2590,3234,5376,6692,23268,28056,50190,58961,957299,997885
80+,28/02/2021,7679,10969,2590,3234,5383,6692,23282,28056,50204,58961,957425,997885
80+,1/3/2021,7700,10969,2597,3234,5383,6692,23310,28056,50232,58961,957705,997885
80+,2/3/2021,7714,10969,2597,3234,5390,6692,23345,28056,50253,58961,958160,997885
80+,3/3/2021,7735,10969,2604,3234,5397,6692,23387,28056,50288,58961,958741,997885
80+,4/3/2021,7756,10969,2611,3234,5404,6692,23464,28056,50337,58961,959357,997885
80+,5/3/2021,7791,10969,2611,3234,5411,6692,23534,28056,50386,58961,960001,997885
80+,6/3/2021,7826,10969,2625,3234,5418,6692,23569,28056,50421,58961,960393,997885
80+,7/3/2021,7826,10969,2625,3234,5425,6692,23590,28056,50421,58961,960470,997885
80+,8/3/2021,7840,10969,2625,3234,5425,6692,23597,28056,50435,58961,960708,997885
80+,9/3/2021,7861,10969,2625,3234,5425,6692,23632,28056,50470,58961,961177,997885
80+,10/3/2021,7882,10969,2632,3234,5439,6692,23660,28056,50512,58961,961611,997885
80+,11/3/2021,7896,10969,2632,3234,5439,6692,23688,28056,50540,58961,961954,997885
80+,12/3/2021,7917,10969,2639,3234,5446,6692,23723,28056,50561,58961,962367,997885
80+,13/03/2021,7931,10969,2639,3234,5453,6692,23765,28056,50589,58961,962647,997885
80+,14/03/2021,7938,10969,2639,3234,5453,6692,23779,28056,50596,58961,962745,997885
80+,15/03/2021,7952,10969,2646,3234,5460,6692,23814,28056,50617,58961,962941,997885
80+,16/03/2021,7959,10969,2646,3234,5460,6692,23835,28056,50631,58961,963228,997885
80+,17/03/2021,7973,10969,2653,3234,5467,6692,23863,28056,50645,58961,963501,997885
80+,18/03/2021,7994,10969,2653,3234,5474,6692,23898,28056,50673,58961,963837,997885
80+,19/03/2021,8008,10969,2660,3234,5488,6692,23940,28056,50687,58961,964110,997885
80+,20/03/2021,8022,10969,2660,3234,5495,6692,23961,28056,50708,58961,964334,997885
80+,21/03/2021,8022,10969,2660,3234,5495,6692,23968,28056,50708,58961,964418,997885
80+,22/03/2021,8029,10969,2660,3234,5495,6692,23989,28056,50715,58961,964572,997885
80+,23/03/2021,8036,10969,2660,3234,5502,6692,24010,28056,50736,58961,964796,997885
80+,24/03/2021,8043,10969,2667,3234,5502,6692,24031,28056,50750,58961,965048,997885
80+,25/03/2021,8064,10969,2667,3234,5509,6692,24045,28056,50764,58961,965356,997885
80+,26/03/2021,8078,10969,2674,3234,5516,6692,24073,28056,50792,58961,965636,997885
80+,27/03/2021,8085,10969,2674,3234,5523,6692,24094,28056,50806,58961,965930,997885
80+,28/03/2021,8099,10969,2674,3234,5523,6692,24115,28056,50820,58961,966021,997885
80+,29/03/2021,8106,10969,2674,3234,5523,6692,24129,28056,50834,58961,966203,997885
80+,30/03/2021,8120,10969,2674,3234,5530,6692,24143,28056,50855,58961,966546,997885
80+,31/03/2021,8127,10969,2681,3234,5530,6692,24164,28056,50869,58961,966826,997885
80+,1/4/2021,8134,10969,2681,3234,5537,6692,24178,28056,50883,58961,967141,997885
80+,2/4/2021,8141,10969,2681,3234,5537,6692,24185,28056,50890,58961,967316,997885
80+,3/4/2021,8148,10969,2681,3234,5537,6692,24192,28056,50904,58961,967477,997885
80+,4/4/2021,8148,10969,2681,3234,5537,6692,24192,28056,50904,58961,967526,997885
80+,5/4/2021,8148,10969,2681,3234,5537,6692,24192,28056,50904,58961,967554,997885
80+,6/4/2021,8155,10969,2681,3234,5537,6692,24199,28056,50918,58961,967687,997885
80+,7/4/2021,8162,10969,2681,3234,5544,6692,24220,28056,50932,58961,968016,997885
80+,8/4/2021,8176,10969,2688,3234,5544,6692,24234,28056,50946,58961,968240,997885
80+,9/4/2021,8183,10969,2688,3234,5551,6692,24255,28056,50960,58961,968492,997885
80+,10/4/2021,8190,10969,2688,3234,5551,6692,24269,28056,50974,58961,968688,997885
80+,11/4/2021,8197,10969,2688,3234,5551,6692,24276,28056,50981,58961,968786,997885
80+,12/4/2021,8197,10969,2688,3234,5551,6692,24283,28056,50988,58961,968891,997885
80+,13/04/2021,8204,10969,2688,3234,5551,6692,24290,28056,50995,58961,969024,997885
80+,14/04/2021,8211,10969,2688,3234,5551,6692,24304,28056,51009,58961,969164,997885
80+,15/04/2021,8211,10969,2695,3234,5551,6692,24318,28056,51023,58961,969325,997885
80+,16/04/2021,8218,10969,2695,3234,5558,6692,24332,28056,51037,58961,969521,997885
80+,17/04/2021,8225,10969,2695,3234,5558,6692,24339,28056,51044,58961,969696,997885
80+,18/04/2021,8225,10969,2695,3234,5558,6692,24346,28056,51051,58961,969766,997885
80+,19/04/2021,8232,10969,2695,3234,5558,6692,24353,28056,51051,58961,969857,997885
80+,20/04/2021,8232,10969,2695,3234,5558,6692,24360,28056,51058,58961,969976,997885
80+,21/04/2021,8239,10969,2695,3234,5558,6692,24374,28056,51065,58961,970102,997885
80+,22/04/2021,8239,10969,2702,3234,5565,6692,24381,28056,51065,58961,970221,997885
80+,23/04/2021,8239,10969,2702,3234,5565,6692,24388,28056,51072,58961,970312,997885
80+,24/04/2021,8246,10969,2702,3234,5565,6692,24402,28056,51072,58961,970375,997885
80+,25/04/2021,8246,10969,2702,3234,5565,6692,24402,28056,51079,58961,970410,997885
80+,26/04/2021,8253,10969,2702,3234,5565,6692,24409,28056,51086,58961,970487,997885
80+,27/04/2021,8253,10969,2702,3234,5565,6692,24416,28056,51093,58961,970571,997885
80+,28/04/2021,8260,10969,2702,3234,5565,6692,24416,28056,51100,58961,970641,997885
80+,29/04/2021,8260,10969,2702,3234,5565,6692,24423,28056,51107,58961,970760,997885
80+,30/04/2021,8260,10969,2702,3234,5565,6692,24423,28056,51114,58961,970830,997885
80+,1/5/2021,8267,10969,2702,3234,5565,6692,24430,28056,51121,58961,970865,997885
80+,2/5/2021,8267,10969,2702,3234,5565,6692,24437,28056,51121,58961,970886,997885
80+,3/5/2021,8267,10969,2702,3234,5565,6692,24437,28056,51121,58961,970900,997885
80+,4/5/2021,8267,10969,2702,3234,5565,6692,24437,28056,51121,58961,970949,997885
80+,5/5/2021,8274,10969,2702,3234,5572,6692,24444,28056,51128,58961,971012,997885
80+,6/5/2021,8281,10969,2702,3234,5572,6692,24458,28056,51128,58961,971082,997885
80+,7/5/2021,8288,10969,2702,3234,5572,6692,24465,28056,51135,58961,971138,997885
80+,8/5/2021,8288,10969,2702,3234,5572,6692,24472,28056,51135,58961,971187,997885
80+,9/5/2021,8288,10969,2702,3234,5572,6692,24479,28056,51135,58961,971201,997885
80+,10/5/2021,8295,10969,2702,3234,5572,6692,24479,28056,51142,58961,971243,997885
80+,11/5/2021,8295,10969,2702,3234,5579,6692,24486,28056,51142,58961,971292,997885
80+,12/5/2021,8302,10969,2709,3234,5579,6692,24493,28056,51149,58961,971369,997885
80+,13/05/2021,8302,10969,2709,3234,5579,6692,24500,28056,51156,58961,971432,997885
80+,14/05/2021,8302,10969,2716,3234,5586,6692,24507,28056,51156,58961,971481,997885
80+,15/05/2021,8309,10969,2716,3234,5586,6692,24521,28056,51156,58961,971523,997885
80+,16/05/2021,8309,10969,2716,3234,5586,6692,24521,28056,51156,58961,971551,997885
80+,17/05/2021,8309,10969,2716,3234,5586,6692,24528,28056,51163,58961,971586,997885
80+,18/05/2021,8316,10969,2716,3234,5586,6692,24535,28056,51163,58961,971635,997885
80+,19/05/2021,8316,10969,2716,3234,5586,6692,24542,28056,51170,58961,971712,997885
80+,20/05/2021,8323,10969,2716,3234,5586,6692,24563,28056,51177,58961,971768,997885
80+,21/05/2021,8323,10969,2716,3234,5593,6692,24577,28056,51184,58961,971824,997885
80+,22/05/2021,8330,10969,2716,3234,5593,6692,24584,28056,51184,58961,971859,997885
80+,23/05/2021,8330,10969,2716,3234,5593,6692,24591,28056,51184,58961,971880,997885
80+,24/05/2021,8330,10969,2716,3234,5593,6692,24591,28056,51184,58961,971908,997885
80+,25/05/2021,8337,10969,2723,3234,5593,6692,24598,28056,51184,58961,971943,997885
80+,26/05/2021,8344,10969,2723,3234,5593,6692,24605,28056,51191,58961,971999,997885
80+,27/05/2021,8344,10969,2723,3234,5600,6692,24612,28056,51198,58961,972069,997885
80+,28/05/2021,8351,10969,2723,3234,5600,6692,24619,28056,51212,58961,972104,997885
80+,29/05/2021,8351,10969,2723,3234,5600,6692,24619,28056,51212,58961,972132,997885
80+,30/05/2021,8358,10969,2723,3234,5607,6692,24619,28056,51219,58961,972146,997885
80+,31/05/2021,8358,10969,2723,3234,5607,6692,24619,28056,51219,58961,972153,997885
80+,1/6/2021,8365,10969,2723,3234,5607,6692,24626,28056,51219,58961,972174,997885
80+,2/6/2021,8365,10969,2723,3234,5607,6692,24633,28056,51226,58961,972202,997885
80+,3/6/2021,8372,10969,2723,3234,5607,6692,24640,28056,51233,58961,972244,997885
80+,4/6/2021,8372,10969,2723,3234,5607,6692,24647,28056,51233,58961,972258,997885
80+,5/6/2021,8372,10969,2723,3234,5607,6692,24654,28056,51233,58961,972286,997885
80+,6/6/2021,8379,10969,2723,3234,5607,6692,24661,28056,51233,58961,972307,997885
80+,7/6/2021,8379,10969,2723,3234,5607,6692,24661,28056,51240,58961,972321,997885
80+,8/6/2021,8379,10969,2723,3234,5607,6692,24668,28056,51240,58961,972356,997885
80+,9/6/2021,8379,10969,2723,3234,5607,6692,24682,28056,51240,58961,972384,997885
80+,10/6/2021,8386,10969,2723,3234,5614,6692,24682,28056,51247,58961,972433,997885
80+,11/6/2021,8386,10969,2723,3234,5614,6692,24696,28056,51247,58961,972461,997885
80+,12/6/2021,8393,10969,2723,3234,5614,6692,24703,28056,51247,58961,972489,997885
80+,13/06/2021,8393,10969,2723,3234,5614,6692,24703,28056,51254,58961,972510,997885
80+,14/06/2021,8400,10969,2723,3234,5614,6692,24710,28056,51254,58961,972538,997885
80+,15/06/2021,8400,10969,2723,3234,5621,6692,24717,28056,51254,58961,972566,997885
80+,16/06/2021,8400,10969,2723,3234,5621,6692,24724,28056,51261,58961,972601,997885
80+,17/06/2021,8400,10969,2723,3234,5621,6692,24731,28056,51268,58961,972629,997885
80+,18/06/2021,8400,10969,2730,3234,5621,6692,24738,28056,51268,58961,972664,997885
80+,19/06/2021,8407,10969,2730,3234,5621,6692,24745,28056,51268,58961,972685,997885
80+,20/06/2021,8407,10969,2730,3234,5621,6692,24745,28056,51268,58961,972706,997885
80+,21/06/2021,8407,10969,2730,3234,5621,6692,24752,28056,51268,58961,972713,997885
80+,22/06/2021,8414,10969,2730,3234,5628,6692,24752,28056,51275,58961,972727,997885
80+,23/06/2021,8414,10969,2730,3234,5628,6692,24759,28056,51275,58961,972748,997885
80+,24/06/2021,8414,10969,2730,3234,5628,6692,24759,28056,51275,58961,972748,997885
